ID,PREDICTED
16707,107372.95266321373
16708,107206.89545844893
16709,101806.50039979517
16710,100122.89340836696
16711,103503.59208915269
16712,105962.82731336712
16713,107318.05311624282
16714,107750.46793629976
16715,107949.99838667041
16716,104628.65438505955
16717,102970.59407110431
16718,101825.67196385031
16719,104174.21241304454
16720,106899.7140713305
16721,108012.68897714729
16722,108512.91678852188
16723,108045.76899840437
16724,105350.05856515287
16725,104126.81490850117
16726,105097.4110639572
16727,106635.35771975973
16728,107323.75497918855
16729,109354.61637342561
16730,108221.63640753308
16731,105514.5568744375
16732,105742.06615579523
16733,105598.50001266679
16734,106657.26340162863
16735,106905.32547754681
16736,108600.61748992784
18666,393662.39399601123
18667,393843.32263641077
18668,389486.2249927929
18669,384484.96177724097
18670,387554.086001772
18671,391625.5723686122
18672,390110.5628177971
18673,393960.11209493736
18674,396355.0063583148
18675,393356.9489401302
18676,392899.78244754084
18677,392529.75128433655
18678,390778.3269866169
18679,393672.1621629876
18680,393203.0506920921
18681,393658.7693782498
18682,392343.2060351972
18683,391962.62235156685
18684,391415.4297803991
18685,391945.5934007413
18686,391498.904597564
18687,392372.8558408744
18688,392814.72198575747
18689,391661.85659952654
18690,390807.61582581
18691,390843.52735962253
18692,389920.88581072167
18693,388417.5428436188
18694,388590.31724321865
18695,389180.4310676919
20625,220698.30065792135
20626,221022.83092937464
20627,220408.15621675694
20628,220932.5300384623
20629,220416.08723268824
20630,220564.91771623926
20631,220283.43621873684
20632,219781.46365003096
20633,219397.9523357052
20634,218756.05911640485
20635,218452.06228872333
20636,218329.24928312097
20637,218641.0323260255
20638,218571.28186478157
20639,218560.6118701778
20640,218484.59480883676
20641,218160.0623802745
20642,217695.04212574684
20643,216961.94781622337
20644,216590.48322610543
20645,216144.89288146782
20646,216137.59211665232
20647,216382.74745393265
20648,216770.74078666532
20649,217348.547336454
20650,217684.06661884952
20651,218254.71471799616
20652,218327.08431117889
20653,218602.0535772672
20654,218071.43704376934
1036,33697.20048357526
1037,33637.728799207
1038,33059.62031591117
1039,33049.90266692261
1040,34200.80246659285
1041,34249.057587643154
1042,33686.96204503451
1043,32774.95784575187
1044,32021.343038736057
1045,31195.776245875997
1046,31552.22656528081
