ID,PREDICTED
16707,94039.24460994203
16708,93304.2088211955
16709,94165.83149327448
16710,91249.05455086644
16711,88026.84558829553
16712,95175.89673380472
16713,95928.46243659576
16714,95355.87966041967
16715,94308.98956386182
16716,94176.13210742845
16717,90601.64502570842
16718,87560.9839434506
16719,94840.03847601396
16720,93987.56896617562
16721,93285.18373880327
16722,92625.8802069751
16723,93307.25238698209
16724,92895.78637089753
16725,92175.5781543163
16726,98453.18017791936
16727,99992.45304545206
16728,101969.003112204
16729,102533.78278673289
16730,103086.25690985065
16731,101711.71867633966
16732,98238.04178332302
16733,103954.83165168183
16734,104418.21100955766
16735,104932.65650304327
16736,103543.13587500568
18666,364396.0401827595
18667,368716.29495608626
18668,375013.5919866403
18669,373647.7530562919
18670,369482.3198859514
18671,383749.6622432349
18672,382420.0547025803
18673,382785.161620151
18674,379907.69153661066
18675,379528.99709153903
18676,371186.1357662783
18677,365246.98909156275
18678,371978.3044189218
18679,368626.60158007115
18680,370495.8987020418
18681,371387.45500831684
18682,373201.3144716073
18683,378065.31880309555
18684,372978.7395729409
18685,383667.66618710395
18686,387307.1737919559
18687,391423.72078183084
18688,390359.34527716506
18689,390157.33842148434
18690,382410.7282207156
18691,375669.39022852236
18692,383815.14277057815
18693,380926.83644189977
18694,384021.379850812
18695,382580.06153649715
20625,212658.91324805506
20626,212376.85205116693
20627,211696.68876929983
20628,211912.3867384201
20629,211803.56795694793
20630,211928.75922583122
20631,212509.84446450125
20632,212085.99332129926
20633,212704.30400722046
20634,213270.81759566773
20635,212577.70944259936
20636,212069.67433444038
20637,212721.09539933578
20638,213929.44276039855
20639,214144.43434376086
20640,214599.13939374348
20641,214205.1163637539
20642,214098.13018174766
20643,212744.72189095142
20644,213064.26686542918
20645,215844.53988074252
20646,216723.7760715545
20647,218162.8343570673
20648,219765.29938575963
20649,220167.42036854423
20650,218522.14777887345
20651,218407.7113326759
20652,220259.77320039444
20653,219432.33607976334
20654,220581.39835214202
1036,29869.978186608398
1037,30031.49326942565
1038,30248.23325567195
1039,30270.41938242606
1040,29366.975870443395
1041,30179.20888684262
1042,30226.282190689777
1043,30469.151922161374
1044,30220.403680339765
1045,30379.720043717967
1046,30673.693537949115
1047,30090.142451054693
1048,31019.998290104955
1049,30945.208800464614
1050,31396.987134276074
1051,32013.600034071893
1052,32466.193082586808
1053,32453.688427143403
1054,31429.373216976743
1055,32086.86177482645
1056,32141.51669811612
1057,32675.59097447232
1058,32356.63744236159
1059,32247.73372759063
1060,32317.244264154982
1061,31080.1847271198
1062,32669.815116028974
1063,32779.593171401015
1064,33505.054754459736
1065,33995.43692517615
2995,141124.2121757706
2996,141060.0298398472
2997,142278.01047504242
2998,137141.55241826928
2999,131982.2373431271
3000,144328.8413572621
3001,145310.1074834078
3002,143796.85926981774
3003,142675.36889227442
3004,142105.13788508967
3005,139393.6733081479
3006,133217.19391038883
3007,144189.39756346517
3008,144830.32401874158
3009,146108.46131000173
3010,145841.67953165525
3011,148097.59109394962
3012,145145.8411466121
3013,139643.49441397126
3014,150164.56738514054
3015,151484.5276865673
3016,153748.8497262718
3017,153397.61444264703
3018,150972.13033619538
3019,146419.38378164932
3020,142431.17182906775
3021,153516.82972525456
3022,154739.39968653469
3023,156805.23796801767
3024,155220.55860373654
8871,8938.187249228711
8872,9240.431537673643
8873,9133.87672222969
8874,9052.975795500739
8875,8755.988603754573
8876,8694.765871771702
8877,9081.969821305398
8878,9299.840012309234
8879,10330.508161218613
8880,10374.265307960643
8881,10043.731265488104
8882,9350.936395283323
8883,9431.01670313305
8884,9989.010653610172
8885,10058.363054707406
8886,10318.143942416033
8887,10220.843250299187
8888,9952.77348177962
8889,9631.647574696182
8890,9463.629109894922
8891,10143.444281879596
8892,10307.81998390608
8893,10595.100178406701
8894,10693.141917662264
8895,10346.525049848564
8896,9787.113979935008
8897,9666.349284013566
8898,10163.721579117342
8899,10146.027436332617
8900,10347.600716196928
10830,11292.326007866683
10831,11052.071794493322
10832,10977.849743854675
10833,11762.205179301727
10834,11398.456374488791
10835,11170.880537857847
10836,11593.48362349951
10837,11364.361463550345
10838,11186.246975514758
10839,11081.727117139668
10840,11264.191018002231
10841,11629.666287398439
10842,11580.633598821094
10843,11554.656480825233
10844,11411.540463422336
10845,11324.321675604364
10846,11789.374827076945
10847,12152.83762104614
10848,12075.313665267704
10849,12037.18043431261
10850,12237.073695981173
10851,12298.94841281318
10852,12787.036111030775
10853,12868.674722278458
10854,13232.42769440508
10855,13204.200613916442
10856,13080.459570258488
10857,13256.478300819057
10858,12697.365189426662
10859,12913.144367401339
12789,74715.53646630778
12790,75475.86645305826
12791,74674.19436982025
12792,74476.91581208445
12793,71773.8162460374
12794,69791.22777762821
12795,73119.13625493833
12796,75116.67632117948
12797,76086.79757589326
12798,76429.52066749829
12799,76578.70059319035
12800,74613.32471312434
12801,72411.17865430917
12802,76022.13077947195
12803,77362.8893398276
12804,78290.9915816444
12805,79183.67907647142
12806,78905.53121522683
12807,76314.67737774063
12808,74924.4411179539
12809,78707.46889367087
12810,80571.21333973999
12811,81702.03121493716
12812,82887.61227552845
12813,84026.40006908923
12814,82636.8012517808
12815,80653.2407229599
12816,83377.40489434227
12817,83752.39738278596
12818,84404.86685498244
14748,39272.50531955296
14749,39574.26239146887
14750,39825.13478613246
14751,39928.18652139044
14752,39525.49118915818
14753,41046.89585144143
14754,40563.393469802955
14755,41086.17649883853
14756,40817.23408299312
14757,41327.342152486155
14758,42035.85449900533
14759,40945.20929509184
14760,42339.727704876284
14761,43377.341579513326
14762,43800.45886216097
14763,44308.94992585276
14764,44780.16643117493
14765,44971.05819928153
14766,44020.59230749009
14767,45183.22598402947
14768,44594.029223614925
14769,44829.154395163416
14770,44815.234436700186
14771,45227.02438005685
14772,44169.90570998463
14773,43134.08005779611
14774,44339.63157954206
14775,44492.35891806633
14776,44922.08192330977
14777,45130.87243369847
4953,243931.08817928995
4954,241498.43384001672
4955,239147.46600364664
4956,228958.3508914436
4957,222092.70369678072
4958,244458.30758259835
4959,245504.72923235298
4960,247955.58422900844
4961,246817.68845982463
4962,252257.69391555167
4963,244029.8675398731
4964,240224.81728592276
4965,262950.67146459623
4966,270905.6239396803
4967,279705.19235247356
4968,271379.02406026755
4969,272278.9599875702
4970,258125.82950657586
4971,250053.60945173126
4972,270022.0044071867
4973,265101.1412177143
4974,260946.4517572818
4975,260118.93491380004
4976,261574.9113882246
4977,257520.86340349892
4978,253507.21551073517
4979,273921.41087908286
4980,279432.5335153198
4981,289902.61880976986
4982,295069.26094913104
6912,362088.63406396983
6913,360367.4661608514
6914,355051.84970729303
6915,338955.471789108
6916,328901.3533897482
6917,352282.44274388446
6918,353259.65149091795
6919,352261.1433062424
6920,352384.55808741634
6921,356555.13053112227
6922,343313.23220578505
6923,339423.5907079794
6924,368805.80615110137
6925,374930.33773465006
6926,381319.81461715465
6927,380775.1873523777
6928,385497.16084346076
6929,367243.02754276054
6930,357833.8729778011
6931,379878.15571326856
6932,379795.3934692781
6933,380612.4000990901
6934,377175.22939616605
6935,373527.6660892712
6936,362592.6650191959
6937,357226.7605171224
6938,386190.38137063116
6939,391533.0486181105
6940,397929.687587499
6941,400143.9162342175
17601,97066.38569382147
17602,101559.37767760095
17603,99967.30491325926
17604,97892.75539829757
17605,98584.6424996387
17606,97291.04959775526
17607,97157.5424010675
17608,101688.92089140417
17609,101851.79709178043
17610,102747.66361670641
17611,101215.7223736383
17612,101736.77758734657
17613,98015.02775968317
17614,97540.09694164468
17615,101940.13125953342
17616,101052.60113579007
17617,99635.19811869391
17618,100131.10912431782
17619,100663.34505999899
17620,98245.2980753137
17621,96261.18549864467
17622,101692.36777474961
17623,98359.94457022056
17624,102004.31669501659
17625,100976.48392518358
17626,101736.01344667195
17627,98555.74044103312
17628,96768.75956761018
17629,101504.90697611732
17630,100888.73850631982
19560,410014.6560249213
19561,415931.27102424856
19562,417002.10686075577
19563,417676.81579651916
19564,415098.3618691251
19565,412217.61790599616
19566,404746.20707173645
19567,400291.6565809801
19568,406650.7328486871
19569,411912.8190402134
19570,412059.3304681028
19571,414094.40924500325
19572,417126.18862289854
19573,411429.0179134461
19574,406159.3972580697
